SaleID,CustomerID,ProductID,SaleDate,Amount,Quantity,Region,Status,SalesRep,Channel,Discount,Currency
32968,C0071,P048,2024-06-03,5402.42,6,Europe,completed,REP026,Online,0.2,GBP
34893,C0198,P013,2024-06-03,982.82,8,Southeast Asia,completed,REP008,In-Store,0.21,EUR
31705,C0130,P032,2024-06-03,22552.18,10,Africa,completed,REP025,Online,0.06,EUR
31520,C0188,P005,2024-06-03,17569.72,8,North America,completed,REP007,In-Store,0.19,GBP
30327,C0055,P036,2024-06-03,3296.63,2,South Asia,completed,REP004,In-Store,0.04,USD
34724,C0183,P012,2024-06-03,1602.25,1,Africa,completed,REP016,Direct,0.23,INR
31443,C0011,P001,2024-06-03,4063.2,2,North America,completed,REP030,Online,0.09,EUR
34680,C0015,P022,2024-06-03,12267.75,6,Middle East,completed,REP014,Direct,0.22,USD
33381,C0193,P013,2024-06-03,492.84,4,Southeast Asia,completed,REP014,In-Store,0.22,USD
30137,C0125,P023,2024-06-03,7536.15,7,Middle East,completed,REP011,In-Store,0.15,USD
30340,C0108,P049,2024-06-03,17349.89,9,Africa,completed,REP015,Partner,0.1,INR
30988,C0038,P036,2024-06-03,16183.51,10,South Asia,completed,REP008,Direct,0.05,USD
32982,C0025,P017,2024-06-03,2877.19,4,Southeast Asia,completed,REP003,Direct,0.23,USD
30585,C0145,P040,2024-06-03,1698.17,1,Middle East,completed,REP016,Online,0.07,USD
30970,C0141,P015,2024-06-03,7728.54,4,Middle East,completed,REP022,Online,0.22,USD
31560,C0024,P032,2024-06-03,11353.23,5,Africa,completed,REP017,Partner,0.02,EUR
30186,C0174,P028,2024-06-03,2894.38,9,Africa,completed,REP003,In-Store,0.21,USD
33193,C0172,P029,2024-06-03,22227.63,9,Africa,completed,REP024,Online,0.15,USD
31389,C0100,P039,2024-06-03,12487.68,5,Middle East,completed,REP030,Direct,0.07,USD
34128,C0188,P020,2024-06-03,705.99,10,Southeast Asia,completed,REP010,Direct,0.04,INR
31145,C0101,P027,2024-06-03,3204.8,10,Europe,completed,REP029,Direct,0.21,EUR
30314,C0079,P022,2024-06-03,12664.68,6,Europe,completed,REP022,In-Store,0.16,USD
35423,C0165,P049,2024-06-03,17621.81,9,Middle East,completed,REP011,Direct,0.18,INR
34834,C0199,P004,2024-06-03,4816.03,7,South Asia,completed,REP011,Online,0.03,USD
31636,C0101,P017,2024-06-03,6546.53,9,North America,completed,REP012,Partner,0.0,INR
35370,C0132,P011,2024-06-03,4287.02,6,Southeast Asia,completed,REP024,In-Store,0.17,USD
35369,C0014,P016,2024-06-03,1636.94,1,North America,completed,REP019,Partner,0.21,EUR
31505,C0010,P021,2024-06-03,7553.26,3,Southeast Asia,completed,REP003,Partner,0.17,INR
30124,C0031,P012,2024-06-03,15227.43,10,South Asia,completed,REP016,In-Store,0.12,USD
33858,C0004,P030,2024-06-03,14220.34,8,Europe,completed,REP013,In-Store,0.08,GBP
30004,C0011,P020,2024-06-03,71.79,1,North America,completed,REP023,Direct,0.1,GBP
31594,C0107,P021,2024-06-03,14077.38,6,Europe,completed,REP014,Direct,0.02,GBP
34007,C0010,P029,2024-06-03,10185.01,4,Middle East,completed,REP004,Online,0.24,GBP
30160,C0190,P050,2024-06-03,7493.27,7,South Asia,completed,REP023,Direct,0.23,USD
33036,C0144,P032,2024-06-03,17721.34,8,Africa,completed,REP025,Partner,0.16,GBP
32839,C0153,P015,2024-06-03,3782.59,2,Southeast Asia,completed,REP026,Partner,0.04,USD
33179,C0115,P045,2024-06-03,1136.39,4,Southeast Asia,completed,REP005,In-Store,0.24,INR
31522,C0011,P041,2024-06-03,15338.96,7,Europe,completed,REP013,Partner,0.2,USD
35327,C0070,P037,2024-06-03,10315.16,4,South Asia,completed,REP021,Online,0.03,USD
31715,C0178,P043,2024-06-03,,9,Southeast Asia,completed,REP013,Partner,0.12,USD
30916,C0051,P004,2024-06-03,5539.01,8,Europe,completed,REP016,In-Store,0.24,INR
33013,C0047,P035,2024-06-03,11111.0,10,Southeast Asia,returned,REP017,Online,0.24,INR
32320,C0091,P003,2024-06-03,1685.34,2,Middle East,completed,REP028,Direct,0.11,EUR
30281,C0091,P037,2024-06-03,10054.13,4,North America,completed,REP012,In-Store,0.08,USD
35481,C0190,P039,2024-06-03,17266.59,7,Middle East,completed,REP001,Online,0.18,EUR
34200,C0029,P011,2024-06-03,719.24,1,Europe,completed,REP002,Partner,0.01,EUR
32299,C0116,P005,2024-06-03,2196.5,1,North America,completed,REP009,In-Store,0.07,EUR
33410,C0123,P024,2024-06-03,494.81,1,Europe,returned,REP020,Partner,0.02,USD
34791,C0139,P040,2024-06-03,3572.17,2,Europe,completed,REP018,Online,0.14,EUR
34701,C0097,P018,2024-06-03,8796.41,5,Europe,completed,REP012,Direct,0.02,GBP
30980,C0188,P002,2024-06-03,386.2,3,Middle East,completed,REP028,Direct,0.1,EUR
34916,C0192,P018,2024-06-03,17951.71,10,Europe,completed,REP019,Online,0.12,EUR
33633,C0005,P019,2024-06-03,2409.49,1,Africa,completed,REP017,Direct,0.18,USD
30209,C0168,P014,2024-06-03,2486.06,4,Middle East,completed,REP008,Online,0.25,USD
31330,C0179,P050,2024-06-03,5628.54,5,Southeast Asia,cancelled,REP029,Online,0.2,GBP
32568,C0138,P008,2024-06-03,3053.38,10,South Asia,completed,REP028,Direct,0.16,USD
35427,C0088,P019,2024-06-03,7393.87,3,South Asia,completed,REP022,Partner,0.11,EUR
30381,C0008,P031,2024-06-03,16273.67,7,Africa,completed,REP010,Direct,0.08,USD
30276,C0020,P016,2024-06-03,11470.7,7,South Asia,completed,REP022,Online,0.2,INR
32720,C0082,P024,2024-06-03,4705.29,9,Africa,completed,REP029,Partner,0.02,GBP
34319,C0155,P006,2024-06-03,12052.89,6,South Asia,completed,REP024,Online,0.05,GBP
32106,C0123,P020,2024-06-03,70.12,1,South Asia,cancelled,REP024,Direct,0.04,USD
31609,C0175,P037,2024-06-03,18999.37,8,Middle East,completed,REP015,Partner,0.06,INR
35128,C0034,P036,2024-06-03,8157.97,5,Europe,completed,REP013,Direct,0.04,USD
34520,C0148,P040,2024-06-03,3451.15,2,North America,completed,REP026,In-Store,0.17,USD
32496,C0091,P050,2024-06-03,11123.5,10,Middle East,completed,REP001,Partner,0.19,GBP
34924,C0195,P040,2024-06-03,5182.56,3,Africa,completed,REP025,In-Store,0.05,USD
34362,C0019,P027,2024-06-03,3260.73,10,Middle East,completed,REP004,Direct,0.0,USD
33369,C0181,P026,2024-06-03,5261.78,5,South Asia,completed,REP010,Direct,0.07,USD
33483,C0002,P036,2024-06-03,16251.35,10,Europe,completed,REP005,Partner,0.17,EUR
35479,C0111,P029,2024-06-03,4967.52,2,Europe,completed,REP018,Partner,0.01,USD
34562,C0150,P031,2024-06-03,12302.84,5,South Asia,completed,REP021,Partner,0.13,USD
31808,C0165,P012,2024-06-03,11878.25,8,North America,completed,REP012,In-Store,0.23,USD
33564,C0055,P039,2024-06-03,7703.87,3,Europe,returned,REP007,Partner,0.2,EUR
31082,C0117,P028,2024-06-03,1384.2,4,Middle East,completed,REP009,Partner,0.07,USD
31438,C0183,P030,2024-06-03,14122.66,8,Europe,completed,REP004,Partner,0.01,USD
35074,C0012,P012,2024-06-03,4835.18,3,Middle East,completed,REP012,Direct,0.02,USD
35401,C0151,P008,2024-06-03,2723.38,9,Africa,completed,REP005,Partner,0.06,USD
34523,C0012,P044,2024-06-03,4480.24,5,Middle East,completed,REP013,In-Store,0.22,GBP
32924,C0110,P020,2024-06-03,569.19,8,Africa,completed,REP015,Partner,0.07,USD
33806,C0073,P005,2024-06-03,2292.45,1,Europe,completed,REP011,In-Store,0.03,GBP
33271,C0152,P006,2024-06-03,12438.63,6,Middle East,completed,REP024,In-Store,0.11,INR
34380,C0074,P004,2024-06-03,5720.99,8,South Asia,completed,REP004,Online,0.2,GBP
33355,C0032,P015,2024-06-03,17700.99,9,Middle East,completed,REP024,In-Store,0.2,INR
34132,C0167,P049,2024-06-03,16475.11,9,Middle East,completed,REP013,Direct,0.17,USD
35230,C0033,P037,2024-06-03,2554.59,1,Europe,returned,REP024,Direct,0.15,EUR
32091,C0145,P022,2024-06-03,4324.9,2,Europe,completed,REP008,Partner,0.18,USD
31664,C0163,P036,2024-06-03,14916.05,9,Europe,completed,REP014,Online,0.07,INR
31531,C0184,P020,2024-06-03,,2,Africa,completed,REP002,Partner,0.11,USD
31903,C0043,P018,2024-06-03,12239.86,7,Africa,returned,REP021,Online,0.18,EUR
30990,C0180,P029,2024-06-03,20911.57,8,North America,completed,REP004,In-Store,0.1,EUR
34971,C0081,P005,2024-06-03,2126.53,1,South Asia,completed,REP025,Direct,0.21,GBP
32745,C0117,P049,2024-06-03,1998.66,1,Southeast Asia,completed,REP008,Online,0.12,EUR
35267,C0148,P012,2024-06-03,1557.94,1,North America,completed,REP027,Partner,0.16,EUR
32462,C0032,P025,2024-06-03,28424.19,10,Africa,completed,REP024,Online,0.18,USD
33846,C0154,P049,2024-06-03,7712.88,4,Africa,cancelled,REP024,Direct,0.14,GBP
30751,C0182,P013,2024-06-03,513.54,4,North America,completed,REP004,In-Store,0.24,EUR
34188,C0191,P007,2024-06-03,22302.77,8,Southeast Asia,completed,REP003,Direct,0.2,USD
34262,C0139,P021,2024-06-03,18636.5,8,Southeast Asia,completed,REP003,In-Store,0.09,USD
30589,C0046,P027,2024-06-03,636.1,2,Middle East,completed,REP018,Partner,0.14,USD
31233,C0167,P011,2024-06-03,5033.16,7,Africa,completed,REP016,In-Store,0.24,EUR
34401,C0019,P023,2024-06-03,3067.69,3,Middle East,completed,REP012,In-Store,0.01,GBP
34937,C0166,P021,2024-06-03,21414.43,9,North America,completed,REP014,Direct,0.15,USD
30694,C0050,P023,2024-06-03,2187.36,2,Europe,completed,REP029,Partner,0.12,USD
33976,C0140,P012,2024-06-03,1523.01,1,Middle East,completed,REP030,Direct,0.11,USD
31572,C0096,P031,2024-06-03,,5,North America,completed,REP003,Direct,0.15,EUR
32877,C0077,P039,2024-06-03,5126.76,2,South Asia,completed,REP004,Direct,0.23,USD
31289,C0058,P048,2024-06-03,4379.45,5,South Asia,completed,REP018,Partner,0.01,EUR
33455,C0105,P029,2024-06-03,23570.59,9,Europe,completed,REP001,In-Store,0.0,USD
34753,C0115,P045,2024-06-03,1643.22,6,South Asia,completed,REP015,Partner,0.16,EUR
33401,C0115,P050,2024-06-03,7657.79,7,Africa,completed,REP010,Direct,0.11,USD
35460,C0078,P006,2024-06-03,6382.69,3,Africa,completed,REP015,Partner,0.24,EUR
31058,C0072,P022,2024-06-03,6154.22,3,South Asia,completed,REP028,Online,0.09,USD
30633,C0027,P014,2024-06-03,4675.34,7,South Asia,completed,REP008,Partner,0.1,INR
31272,C0199,P032,2024-06-03,8662.82,4,Europe,cancelled,REP024,Partner,0.14,INR
31073,C0080,P036,2024-06-03,10331.07,6,Middle East,completed,REP024,In-Store,0.18,USD
34591,C0030,P037,2024-06-03,19265.71,8,Africa,completed,REP027,Partner,0.19,USD
33751,C0166,P015,2024-06-03,3905.26,2,Middle East,completed,REP026,Online,0.2,USD
35042,C0167,P046,2024-06-03,5337.99,7,North America,completed,REP030,In-Store,0.15,USD
32479,C0099,P031,2024-06-03,5094.74,2,South Asia,completed,REP004,In-Store,0.25,EUR
32778,C0179,P050,2024-06-03,4442.65,4,North America,completed,REP015,Online,0.07,USD
30304,C0141,P044,2024-06-03,931.73,1,North America,completed,REP003,In-Store,0.04,USD
34190,C0055,P040,2024-06-03,15252.48,9,Middle East,completed,REP025,In-Store,0.16,USD
30861,C0017,P013,2024-06-03,807.55,6,North America,completed,REP026,Online,0.14,USD
30696,C0059,P008,2024-06-03,595.1,2,Middle East,completed,REP016,Partner,0.15,USD
35040,C0035,P039,2024-06-03,15201.16,6,North America,completed,REP027,In-Store,0.24,INR
35301,C0070,P023,2024-06-03,1056.11,1,Middle East,completed,REP020,Online,0.0,USD
34311,C0043,P021,2024-06-03,2456.43,1,Southeast Asia,completed,REP026,In-Store,0.12,EUR
30818,C0170,P035,2024-06-03,11234.75,10,North America,completed,REP026,Direct,0.2,USD
34785,C0036,P019,2024-06-03,24085.39,10,Europe,completed,REP004,Online,0.07,USD
