SaleID,CustomerID,ProductID,SaleDate,Amount,Quantity,Region,Status,SalesRep,Channel,Discount,Currency
123385,C0053,P031,2024-07-03,7051.75,3,Africa,completed,REP025,Online,0.07,EUR
123976,C0148,P044,2024-07-03,1740.93,2,Southeast Asia,completed,REP019,Online,0.03,GBP
120792,C0113,P021,2024-07-03,22770.4,9,Southeast Asia,completed,REP023,In-Store,0.06,EUR
120034,C0092,P041,2024-07-03,15413.36,7,Southeast Asia,completed,REP001,In-Store,0.12,USD
124314,C0126,P013,2024-07-03,398.85,3,North America,completed,REP011,Partner,0.23,USD
124094,C0061,P006,2024-07-03,14190.51,7,Africa,completed,REP024,Direct,0.22,INR
125115,C0161,P046,2024-07-03,2133.69,3,North America,completed,REP020,Online,0.07,GBP
125577,C0009,P010,2024-07-03,406.14,3,Europe,completed,REP026,Online,0.09,USD
121171,C0195,P003,2024-07-03,5284.03,6,Southeast Asia,completed,REP023,In-Store,0.07,USD
125014,C0046,P005,2024-07-03,10867.24,5,Africa,completed,REP015,Partner,0.13,INR
122127,C0168,P035,2024-07-03,4586.98,4,Africa,completed,REP017,Online,0.13,USD
123582,C0006,P027,2024-07-03,2627.85,8,Europe,completed,REP001,Direct,0.03,USD
120321,C0022,P012,2024-07-03,9488.66,6,North America,completed,REP023,Direct,0.03,USD
122907,C0192,P037,2024-07-03,,3,North America,completed,REP023,Online,0.08,GBP
125110,C0192,P048,2024-07-03,1759.84,2,Europe,completed,REP028,In-Store,0.18,INR
120346,C0130,P006,2024-07-03,8489.74,4,Africa,completed,REP014,Partner,0.21,INR
120392,C0031,P018,2024-07-03,14877.36,8,North America,completed,REP005,Online,0.19,USD
124189,C0199,P024,2024-07-03,981.19,2,Europe,completed,REP003,Partner,0.01,USD
120772,C0177,P043,2024-07-03,6294.89,9,Southeast Asia,completed,REP012,Online,0.01,INR
122891,C0065,P008,2024-07-03,1797.58,6,Europe,completed,REP010,In-Store,0.13,USD
120410,C0046,P032,2024-07-03,19054.14,9,South Asia,completed,REP012,Partner,0.23,USD
124043,C0185,P045,2024-07-03,2524.27,9,Southeast Asia,completed,REP021,Online,0.25,USD
122450,C0129,P040,2024-07-03,13878.21,8,South Asia,completed,REP015,Online,0.07,INR
121743,C0117,P050,2024-07-03,5364.09,5,Southeast Asia,completed,REP024,Direct,0.1,INR
122378,C0018,P031,2024-07-03,4969.96,2,South Asia,completed,REP014,Partner,0.05,GBP
125854,C0017,P040,2024-07-03,17557.73,10,Southeast Asia,completed,REP025,Online,0.07,USD
121650,C0080,P037,2024-07-03,25097.35,10,Africa,completed,REP009,Online,0.07,GBP
123342,C0196,P001,2024-07-03,1968.35,1,Europe,completed,REP010,Direct,0.15,GBP
120355,C0049,P026,2024-07-03,1064.19,1,North America,completed,REP023,Partner,0.09,EUR
125382,C0072,P039,2024-07-03,17492.02,7,Europe,completed,REP025,Direct,0.2,GBP
124535,C0149,P042,2024-07-03,1532.96,8,North America,completed,REP028,Online,0.22,EUR
125919,C0181,P039,2024-07-03,15291.34,6,Africa,completed,REP020,In-Store,0.23,EUR
120807,C0012,P049,2024-07-03,1846.58,1,Southeast Asia,completed,REP008,In-Store,0.1,EUR
122552,C0165,P039,2024-07-03,18031.31,7,North America,completed,REP025,Online,0.04,GBP
124726,C0092,P045,2024-07-03,1687.75,6,Southeast Asia,completed,REP008,In-Store,0.19,INR
125257,C0188,P006,2024-07-03,3897.77,2,Africa,completed,REP007,In-Store,0.01,USD
120933,C0011,P022,2024-07-03,6204.24,3,North America,completed,REP017,In-Store,0.05,USD
120994,C0099,P009,2024-07-03,10024.91,8,Africa,completed,REP007,Direct,0.12,USD
124531,C0006,P007,2024-07-03,2646.09,1,Southeast Asia,completed,REP019,Partner,0.09,EUR
123656,C0091,P011,2024-07-03,1436.08,2,Africa,completed,REP022,In-Store,0.24,GBP
122986,C0001,P041,2024-07-03,8870.05,4,North America,completed,REP025,Online,0.13,INR
125552,C0176,P026,2024-07-03,2160.46,2,Africa,completed,REP005,In-Store,0.17,INR
120444,C0073,P029,2024-07-03,22344.99,9,North America,completed,REP001,Online,0.22,GBP
120746,C0045,P013,2024-07-03,1197.31,9,North America,completed,REP008,Online,0.07,USD
122188,C0116,P042,2024-07-03,1241.13,7,South Asia,completed,REP019,Online,0.2,USD
125329,C0182,P029,2024-07-03,7885.77,3,Middle East,cancelled,REP004,Direct,0.11,USD
121067,C0016,P011,2024-07-03,2675.68,4,South Asia,completed,REP028,Online,0.22,EUR
120538,C0187,P045,2024-07-03,886.5,3,North America,completed,REP003,Partner,0.21,GBP
124675,C0163,P044,2024-07-03,1872.96,2,Southeast Asia,completed,REP018,Partner,0.03,EUR
123290,C0055,P019,2024-07-03,5077.6,2,Europe,completed,REP007,Online,0.2,EUR
122672,C0133,P001,2024-07-03,11731.11,6,North America,completed,REP015,In-Store,0.14,EUR
